sex,day,file.name,trial,trial.recording.duration,trial.recording.start,video.recording.start,elongation
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a1.MTS,Trial     1,+ 00:00:27.828,03/09/2022 13:28:35.504,03/09/2022 13:28:32.000,68.309
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a1.MTS,Trial     2,+ 00:00:19.052,03/09/2022 13:29:31.159,03/09/2022 13:28:32.000,67.6108
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a1.MTS,Trial     3,+ 00:00:30.063,03/09/2022 13:30:39.561,03/09/2022 13:28:32.000,70.4015
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a1.MTS,Trial     4,+ 00:00:30.063,03/09/2022 13:31:09.691,03/09/2022 13:28:32.000,70.5597
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a1.MTS,Trial     5,+ 00:00:30.063,03/09/2022 13:31:39.855,03/09/2022 13:28:32.000,70.5375
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a1.MTS,Trial     6,+ 00:00:30.063,03/09/2022 13:32:10.018,03/09/2022 13:28:32.000,71.0379
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a1.MTS,Trial     7,+ 00:00:13.080,03/09/2022 13:32:40.182,03/09/2022 13:28:32.000,70.6421
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a2.MTS,Trial     8,+ 00:00:30.063,03/09/2022 13:39:29.437,03/09/2022 13:39:26.000,66.9413
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a2.MTS,Trial     9,+ 00:00:30.063,03/09/2022 13:39:59.634,03/09/2022 13:39:26.000,64.9158
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a2.MTS,Trial    10,+ 00:00:30.063,03/09/2022 13:40:29.764,03/09/2022 13:39:26.000,66.2144
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a2.MTS,Trial    11,+ 00:00:30.063,03/09/2022 13:40:59.894,03/09/2022 13:39:26.000,67.1964
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a2.MTS,Trial    12,+ 00:00:30.063,03/09/2022 13:41:30.024,03/09/2022 13:39:26.000,65.4856
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a2.MTS,Trial    13,+ 00:00:30.063,03/09/2022 13:42:00.254,03/09/2022 13:39:26.000,66.2701
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.a2.MTS,Trial    14,+ 00:00:10.811,03/09/2022 13:42:30.384,03/09/2022 13:39:26.000,66.1685
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b1.MTS,Trial    15,+ 00:00:30.063,03/09/2022 13:45:10.936,03/09/2022 13:45:08.000,65.5938
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b1.MTS,Trial    16,+ 00:00:30.063,03/09/2022 13:45:41.066,03/09/2022 13:45:08.000,64.4767
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b1.MTS,Trial    17,+ 00:00:30.063,03/09/2022 13:46:11.230,03/09/2022 13:45:08.000,64.837
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b1.MTS,Trial    18,+ 00:00:30.063,03/09/2022 13:46:41.393,03/09/2022 13:45:08.000,65.1941
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b1.MTS,Trial    19,+ 00:00:30.063,03/09/2022 13:47:11.524,03/09/2022 13:45:08.000,60.5894
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b1.MTS,Trial    20,+ 00:00:30.063,03/09/2022 13:47:41.754,03/09/2022 13:45:08.000,61.7575
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b2.MTS,Trial    21,+ 00:00:30.063,03/09/2022 13:52:26.903,03/09/2022 13:52:24.000,70.5225
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b2.MTS,Trial    22,+ 00:00:13.013,03/09/2022 13:52:57.033,03/09/2022 13:52:24.000,70.5367
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b2.MTS,Trial    23,+ 00:00:30.063,03/09/2022 13:54:11.608,03/09/2022 13:52:24.000,69.9058
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.b2.MTS,Trial    24,+ 00:00:05.973,03/09/2022 13:54:41.804,03/09/2022 13:52:24.000,64.1162
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c1.MTS,Trial   266,+ 00:00:07.474,03/09/2022 14:08:02.970,03/09/2022 14:08:00.000,73.319
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c1.MTS,Trial   267,+ 00:00:18.018,03/09/2022 14:08:28.529,03/09/2022 14:08:00.000,73.9195
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c1.MTS,Trial   268,+ 00:00:30.063,03/09/2022 14:09:05.432,03/09/2022 14:08:00.000,75.288
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c1.MTS,Trial   269,+ 00:00:30.063,03/09/2022 14:09:35.562,03/09/2022 14:08:00.000,75.456
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c1.MTS,Trial   270,+ 00:00:30.063,03/09/2022 14:10:05.726,03/09/2022 14:08:00.000,75.5634
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c1.MTS,Trial   271,+ 00:00:30.063,03/09/2022 14:11:30.410,03/09/2022 14:08:00.000,74.8308
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c1.MTS,Trial   272,+ 00:00:29.229,03/09/2022 14:12:00.541,03/09/2022 14:08:00.000,74.5459
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c2.MTS,Trial   273,+ 00:00:07.741,03/09/2022 14:13:50.371,03/09/2022 14:13:46.000,74.3435
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c2.MTS,Trial   274,+ 00:00:24.558,03/09/2022 14:15:05.680,03/09/2022 14:13:46.000,71.5645
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c2.MTS,Trial   275,+ 00:00:30.063,03/09/2022 14:15:53.394,03/09/2022 14:13:46.000,66.7578
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c2.MTS,Trial   276,+ 00:00:27.794,03/09/2022 14:16:23.591,03/09/2022 14:13:46.000,66.0304
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c2.MTS,Trial   277,+ 00:00:30.063,03/09/2022 14:17:18.379,03/09/2022 14:13:46.000,74.096
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c2.MTS,Trial   278,+ 00:00:30.063,03/09/2022 14:17:48.509,03/09/2022 14:13:46.000,75.4713
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.c2.MTS,Trial   279,+ 00:00:29.162,03/09/2022 14:18:18.639,03/09/2022 14:13:46.000,75.3333
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d1.MTS,Trial    36,+ 00:00:18.018,03/09/2022 16:25:49.604,03/09/2022 16:25:46.000,72.2867
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d1.MTS,Trial    37,+ 00:00:18.051,03/09/2022 16:26:33.981,03/09/2022 16:25:46.000,74.5525
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d1.MTS,Trial    38,+ 00:00:30.063,03/09/2022 16:27:31.472,03/09/2022 16:25:46.000,74.7554
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d1.MTS,Trial    39,+ 00:00:30.063,03/09/2022 16:28:01.636,03/09/2022 16:25:46.000,72.9111
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d1.MTS,Trial    40,+ 00:00:25.826,03/09/2022 16:28:31.799,03/09/2022 16:25:46.000,72.7418
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d2.MTS,Trial    41,+ 00:00:30.063,03/09/2022 16:33:48.803,03/09/2022 16:33:46.000,70.4687
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d2.MTS,Trial    42,+ 00:00:30.063,03/09/2022 16:34:18.933,03/09/2022 16:33:46.000,68.9136
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d2.MTS,Trial    43,+ 00:00:30.063,03/09/2022 16:34:49.096,03/09/2022 16:33:46.000,71.7065
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d2.MTS,Trial    44,+ 00:00:30.063,03/09/2022 16:35:19.260,03/09/2022 16:33:46.000,71.517
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d2.MTS,Trial    45,+ 00:00:30.063,03/09/2022 16:35:49.423,03/09/2022 16:33:46.000,72.4503
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.d2.MTS,Trial    46,+ 00:00:30.063,03/09/2022 16:36:19.587,03/09/2022 16:33:46.000,70.6919
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e1.MTS,Trial    47,+ 00:00:15.782,03/09/2022 16:43:32.836,03/09/2022 16:43:30.000,72.6887
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    48,+ 00:00:30.063,03/09/2022 16:48:23.136,03/09/2022 16:48:20.000,72.907
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    49,+ 00:00:13.514,03/09/2022 16:48:53.267,03/09/2022 16:48:20.000,72.0079
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    50,+ 00:00:30.063,03/09/2022 16:49:28.869,03/09/2022 16:48:20.000,76.3102
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    51,+ 00:00:30.063,03/09/2022 16:49:58.999,03/09/2022 16:48:20.000,75.6935
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    52,+ 00:00:30.063,03/09/2022 16:50:29.129,03/09/2022 16:48:20.000,75.2483
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    53,+ 00:00:30.063,03/09/2022 16:50:59.326,03/09/2022 16:48:20.000,76.0077
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    54,+ 00:00:30.063,03/09/2022 16:51:29.456,03/09/2022 16:48:20.000,75.5791
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.e2.MTS,Trial    55,+ 00:00:23.090,03/09/2022 16:51:59.653,03/09/2022 16:48:20.000,76.2193
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    56,+ 00:00:30.063,03/09/2022 16:56:37.737,03/09/2022 16:56:34.000,68.493
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    57,+ 00:00:30.063,03/09/2022 16:57:07.901,03/09/2022 16:56:34.000,67.9525
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    58,+ 00:00:30.063,03/09/2022 16:57:38.064,03/09/2022 16:56:34.000,67.1176
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    59,+ 00:00:30.063,03/09/2022 16:58:08.261,03/09/2022 16:56:34.000,68.7894
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    60,+ 00:00:30.063,03/09/2022 16:58:38.424,03/09/2022 16:56:34.000,68.5235
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f1.MTS,Trial    61,+ 00:00:30.063,03/09/2022 16:59:08.588,03/09/2022 16:56:34.000,69.3359
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    62,+ 00:00:07.441,03/09/2022 17:00:44.936,03/09/2022 17:00:42.000,68.3434
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    63,+ 00:00:30.063,03/09/2022 17:01:24.809,03/09/2022 17:00:42.000,72.2984
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    64,+ 00:00:30.063,03/09/2022 17:01:54.940,03/09/2022 17:00:42.000,69.6134
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    65,+ 00:00:14.248,03/09/2022 17:02:25.103,03/09/2022 17:00:42.000,68.4285
Female,3,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day3.f2.MTS,Trial    66,+ 00:00:20.854,03/09/2022 17:03:12.817,03/09/2022 17:00:42.000,69.6391
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   115,+ 00:00:08.742,03/10/2022 12:19:22.736,03/10/2022 12:19:20.000,68.0633
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   116,+ 00:00:30.063,03/10/2022 12:19:52.533,03/10/2022 12:19:20.000,68.8748
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   117,+ 00:00:30.063,03/10/2022 12:20:22.729,03/10/2022 12:19:20.000,69.7668
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   118,+ 00:00:30.063,03/10/2022 12:20:52.893,03/10/2022 12:19:20.000,67.7828
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   119,+ 00:00:30.063,03/10/2022 12:21:23.023,03/10/2022 12:19:20.000,68.765
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   120,+ 00:00:30.063,03/10/2022 12:21:53.153,03/10/2022 12:19:20.000,68.6002
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a1.MTS,Trial   121,+ 00:00:26.860,03/10/2022 12:22:23.350,03/10/2022 12:19:20.000,70.1309
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.a2.MTS,Trial   122,+ 00:00:30.063,03/10/2022 12:24:10.803,03/10/2022 12:24:08.000,68.8378
