trial,day,condition,subject,sex,elongation
asynch.day1.d1.trial1,1,Asynchronous,d1,Female,74.0143
asynch.day1.d1.trial2,1,Asynchronous,d1,Female,73.213
asynch.day1.d1.trial3,1,Asynchronous,d1,Female,73.7941
asynch.day1.d1.trial4,1,Asynchronous,d1,Female,70.078
asynch.day1.d1.trial5,1,Asynchronous,d1,Female,73.5046
asynch.day1.d2.trial1,1,Asynchronous,d2,Female,70.9215
asynch.day1.d2.trial2,1,Asynchronous,d2,Female,70.131
asynch.day1.d2.trial3,1,Asynchronous,d2,Female,69.1089
asynch.day1.d2.trial4,1,Asynchronous,d2,Female,70.7023
asynch.day1.e2.trial1,1,Asynchronous,e2,Female,70.9669
asynch.day1.e2.trial2,1,Asynchronous,e2,Female,73.3054
asynch.day1.e2.trial3,1,Asynchronous,e2,Female,71.2198
asynch.day1.e2.trial4,1,Asynchronous,e2,Female,73.7558
asynch.day1.e2.trial5,1,Asynchronous,e2,Female,69.8512
asynch.day1.g1.trial1,1,Asynchronous,g1,Male,66.6121
asynch.day1.h1.trial1,1,Asynchronous,h1,Male,71.7377
asynch.day1.h1.trial2,1,Asynchronous,h1,Male,71.6596
asynch.day1.h1.trial3,1,Asynchronous,h1,Male,72.8427
asynch.day1.h1.trial4,1,Asynchronous,h1,Male,72.1984
asynch.day1.h1.trial5,1,Asynchronous,h1,Male,72.0321
asynch.day1.j1.trial1,1,Asynchronous,j1,Male,70.3781
asynch.day1.j1.trial2,1,Asynchronous,j1,Male,69.8005
asynch.day2.d1.trial1,2,Asynchronous,d1,Female,73.4573
asynch.day2.d1.trial2,2,Asynchronous,d1,Female,74.0579
asynch.day2.d1.trial3,2,Asynchronous,d1,Female,74.2677
asynch.day2.d1.trial4,2,Asynchronous,d1,Female,73.8246
asynch.day2.d1.trial5,2,Asynchronous,d1,Female,73.7757
asynch.day2.d2.trial1,2,Asynchronous,d2,Female,75.7285
asynch.day2.d2.trial2,2,Asynchronous,d2,Female,74.2614
asynch.day2.d2.trial3,2,Asynchronous,d2,Female,74.0964
asynch.day2.d2.trial4,2,Asynchronous,d2,Female,76.5373
asynch.day2.d2.trial5,2,Asynchronous,d2,Female,74.5798
asynch.day2.e2.trial1,2,Asynchronous,e2,Female,72.7974
asynch.day2.e2.trial2,2,Asynchronous,e2,Female,73.638
asynch.day2.e2.trial3,2,Asynchronous,e2,Female,73.0249
asynch.day2.e2.trial4,2,Asynchronous,e2,Female,73.0207
asynch.day2.e2.trial5,2,Asynchronous,e2,Female,73.4864
asynch.day2.g1.trial1,2,Asynchronous,g1,Male,74.8685
asynch.day2.g1.trial2,2,Asynchronous,g1,Male,74.991
asynch.day2.h1.trial1,2,Asynchronous,h1,Male,67.2116
asynch.day2.h1.trial2,2,Asynchronous,h1,Male,71.975
asynch.day2.h1.trial3,2,Asynchronous,h1,Male,69.2457
asynch.day2.h1.trial4,2,Asynchronous,h1,Male,70.0266
asynch.day2.h1.trial5,2,Asynchronous,h1,Male,74.8529
asynch.day2.j1.trial1,2,Asynchronous,j1,Male,72.3589
asynch.day3.d1.trial1,3,Asynchronous,d1,Female,66.8465
asynch.day3.d1.trial2,3,Asynchronous,d1,Female,75.4304
asynch.day3.d1.trial3,3,Asynchronous,d1,Female,76.1074
asynch.day3.d1.trial4,3,Asynchronous,d1,Female,73.1601
asynch.day3.d1.trial5,3,Asynchronous,d1,Female,72.2237
asynch.day3.e2.trial1,3,Asynchronous,e2,Female,69.8626
asynch.day3.e2.trial2,3,Asynchronous,e2,Female,68.1727
asynch.day3.e2.trial3,3,Asynchronous,e2,Female,72.9184
asynch.day3.e2.trial4,3,Asynchronous,e2,Female,74.2487
asynch.day3.e2.trial5,3,Asynchronous,e2,Female,68.6749
asynch.day3.h1.trial1,3,Asynchronous,h1,Male,72.0091
asynch.day3.h1.trial2,3,Asynchronous,h1,Male,71.012
asynch.day3.h1.trial3,3,Asynchronous,h1,Male,72.9508
asynch.day3.h1.trial4,3,Asynchronous,h1,Male,76.8135
asynch.day3.h1.trial5,3,Asynchronous,h1,Male,71.3879
asynch.day4.d1.trial1,4,Asynchronous,d1,Female,75.061
asynch.day4.d1.trial2,4,Asynchronous,d1,Female,71.2668
asynch.day4.d1.trial3,4,Asynchronous,d1,Female,72.2435
asynch.day4.d1.trial4,4,Asynchronous,d1,Female,71.1025
asynch.day4.d1.trial5,4,Asynchronous,d1,Female,74.3348
asynch.day4.e2.trial1,4,Asynchronous,e2,Female,78.7162
asynch.day4.e2.trial2,4,Asynchronous,e2,Female,77.6193
asynch.day4.e2.trial3,4,Asynchronous,e2,Female,78.2526
asynch.day4.e2.trial4,4,Asynchronous,e2,Female,78.6077
asynch.day4.e2.trial5,4,Asynchronous,e2,Female,78.1059
asynch.day4.d2.trial1,4,Asynchronous,d2,Female,76.253
asynch.day4.d2.trial2,4,Asynchronous,d2,Female,75.5205
asynch.day4.d2.trial3,4,Asynchronous,d2,Female,73.7329
asynch.day4.d2.trial4,4,Asynchronous,d2,Female,71.9693
asynch.day4.d2.trial5,4,Asynchronous,d2,Female,74.8483
asynch.day4.g1.trial1,4,Asynchronous,g1,Male,69.6575
asynch.day4.g1.trial2,4,Asynchronous,g1,Male,70.354
asynch.day4.g1.trial3,4,Asynchronous,g1,Male,69.2267
asynch.day4.h1.trial1,4,Asynchronous,h1,Male,66.75
asynch.day4.h1.trial2,4,Asynchronous,h1,Male,67.3137
asynch.day4.h1.trial3,4,Asynchronous,h1,Male,68.2954
asynch.day4.h1.trial4,4,Asynchronous,h1,Male,67.2835
asynch.day4.h1.trial5,4,Asynchronous,h1,Male,68.1911
asynch.day4.j1.trial1,4,Asynchronous,j1,Male,76.4408
asynch.day5.d1.trial1,5,Asynchronous,d1,Female,76.3677
asynch.day5.d1.trial2,5,Asynchronous,d1,Female,76.1167
asynch.day5.d1.trial3,5,Asynchronous,d1,Female,76.7847
asynch.day5.d1.trial4,5,Asynchronous,d1,Female,76.1661
asynch.day5.d1.trial5,5,Asynchronous,d1,Female,75.8161
asynch.day5.e2.trial1,5,Asynchronous,e2,Female,78.462
asynch.day5.e2.trial2,5,Asynchronous,e2,Female,74.7916
asynch.day5.e2.trial3,5,Asynchronous,e2,Female,77.4197
asynch.day5.e2.trial4,5,Asynchronous,e2,Female,75.9824
asynch.day5.e2.trial5,5,Asynchronous,e2,Female,76.8127
asynch.day5.h1.trial1,5,Asynchronous,h1,Male,68.7725
asynch.day5.h1.trial2,5,Asynchronous,h1,Male,75.4297
asynch.day5.h1.trial3,5,Asynchronous,h1,Male,71.0183
asynch.day5.h1.trial4,5,Asynchronous,h1,Male,76.1595
asynch.day5.h1.trial5,5,Asynchronous,h1,Male,76.7367
asynch.day6.d1.trial1,6,Asynchronous,d1,Female,73.5603
asynch.day6.d1.trial2,6,Asynchronous,d1,Female,74.0134
asynch.day6.d1.trial3,6,Asynchronous,d1,Female,74.0602
asynch.day6.d1.trial4,6,Asynchronous,d1,Female,74.0528
asynch.day6.d1.trial5,6,Asynchronous,d1,Female,73.4059
asynch.day6.e2.trial1,6,Asynchronous,e2,Female,76.3217
asynch.day6.e2.trial2,6,Asynchronous,e2,Female,77.0633
asynch.day6.e2.trial3,6,Asynchronous,e2,Female,72.4652
asynch.day6.e2.trial4,6,Asynchronous,e2,Female,75.5467
asynch.day6.e2.trial5,6,Asynchronous,e2,Female,74.7395
asynch.day6.h1.trial1,6,Asynchronous,h1,Male,66.4934
asynch.day6.h1.trial2,6,Asynchronous,h1,Male,66.0443
asynch.day6.h1.trial3,6,Asynchronous,h1,Male,69.756
asynch.day6.h1.trial4,6,Asynchronous,h1,Male,63.8436
asynch.day6.h1.trial5,6,Asynchronous,h1,Male,66.1714
asynch.day6.j1.trial1,6,Asynchronous,j1,Male,69.9947
asynch.day6.j1.trial2,6,Asynchronous,j1,Male,67.6918
asynch.day7.a2.trial1,7,Asynchronous,a2,Female,74.8534
asynch.day7.a2.trial2,7,Asynchronous,a2,Female,76.3837
asynch.day7.a2.trial3,7,Asynchronous,a2,Female,76.6142
asynch.day7.a2.trial4,7,Asynchronous,a2,Female,74.8676
asynch.day7.a2.trial5,7,Asynchronous,a2,Female,74.9749
asynch.day7.c2.trial1,7,Asynchronous,c2,Female,74.8419
asynch.day7.c2.trial2,7,Asynchronous,c2,Female,75.349
asynch.day7.c2.trial3,7,Asynchronous,c2,Female,74.3659
asynch.day7.c2.trial4,7,Asynchronous,c2,Female,74.7746
asynch.day7.c2.trial5,7,Asynchronous,c2,Female,74.4956
