subject,sex,day,video.recording.start,trial.recording.start,trial.recording.duration,time.since.video.start,elongation,trial.completion
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:31:39.855Z,00:30:00,03:07:00,70.5375,TRUE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:40:29.763Z,00:30:00,01:03:00,66.2144,TRUE
b1,Female,3,2022-03-09T18:45:08.000Z,2022-03-09T18:46:11.230Z,00:30:00,01:03:00,64.837,TRUE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:10:05.726Z,00:30:00,02:05:00,75.5634,TRUE
e2,Female,3,2022-03-09T21:48:20.000Z,2022-03-09T21:50:29.128Z,00:30:00,02:09:00,75.2483,TRUE
f1,Female,3,2022-03-09T21:56:34.000Z,2022-03-09T21:57:38.062Z,00:30:00,01:04:00,67.1176,TRUE
g1,Male,3,2022-03-09T22:10:04.000Z,2022-03-09T22:11:26.615Z,00:30:00,01:22:00,62.4957,TRUE
g2,Male,3,2022-03-09T22:15:54.000Z,2022-03-09T22:19:52.572Z,00:30:00,03:58:00,53.9638,TRUE
h1,Male,3,2022-03-09T22:24:02.000Z,2022-03-09T22:25:05.029Z,00:30:00,01:03:00,72.167,TRUE
h2,Male,3,2022-03-09T22:28:26.000Z,2022-03-09T22:29:29.095Z,00:30:00,01:03:00,72.0639,TRUE
i1,Male,3,2022-03-09T22:33:52.000Z,2022-03-09T22:34:54.663Z,00:30:00,01:02:00,66.955,TRUE
j2,Male,3,2022-03-09T22:47:54.000Z,2022-03-09T22:48:56.861Z,00:30:00,01:02:00,66.5545,TRUE
a1,Female,4,2022-03-10T17:19:20.000Z,2022-03-10T17:20:52.891Z,00:30:00,01:32:00,67.7828,TRUE
a2,Female,4,2022-03-10T17:24:08.000Z,2022-03-10T17:25:11.095Z,00:30:00,01:03:00,69.31,TRUE
b1,Female,4,2022-03-10T17:30:02.000Z,2022-03-10T17:31:05.230Z,00:30:00,01:03:00,72.5895,TRUE
b2,Female,4,2022-03-10T17:40:00.000Z,2022-03-10T17:41:02.663Z,00:30:00,01:02:00,67.3645,TRUE
c1,Female,4,2022-03-10T17:52:24.000Z,2022-03-10T17:57:35.677Z,00:30:00,05:11:00,73.0788,TRUE
c2,Female,4,2022-03-10T17:58:36.000Z,2022-03-10T18:02:47.552Z,00:30:00,04:11:00,72.1217,TRUE
d1,Female,4,2022-03-10T18:04:24.000Z,2022-03-10T18:05:27.361Z,00:30:00,01:03:00,67.643,TRUE
e2,Female,4,2022-03-10T18:21:20.000Z,2022-03-10T18:22:26.867Z,00:30:00,01:06:00,71.4047,TRUE
f1,Female,4,2022-03-10T18:26:22.000Z,2022-03-10T18:27:24.996Z,00:30:00,01:03:00,69.9962,TRUE
f2,Female,4,2022-03-10T18:30:28.000Z,2022-03-10T18:31:52.917Z,00:30:00,01:24:00,70.7903,TRUE
g1,Male,4,2022-03-10T18:36:42.000Z,2022-03-10T18:37:45.197Z,00:30:00,01:03:00,63.0587,TRUE
h2,Male,4,2022-03-10T18:59:52.000Z,2022-03-10T19:04:30.177Z,00:30:00,04:38:00,64.8163,TRUE
i1,Male,4,2022-03-10T19:06:02.000Z,2022-03-10T19:09:08.854Z,00:30:00,03:06:00,60.233,TRUE
i2,Male,4,2022-03-10T19:14:20.000Z,2022-03-10T19:15:22.996Z,00:30:00,01:03:00,69.234,TRUE
k1,Male,4,2022-03-10T19:42:26.000Z,2022-03-10T19:45:27.114Z,00:30:00,03:01:00,70.5257,TRUE
l1,Male,4,2022-03-10T20:02:04.000Z,2022-03-10T20:06:08.611Z,00:30:00,04:04:00,71.4303,TRUE
