subject,sex,day,video.recording.start,trial.recording.start,trial.recording.duration,time.since.video.start,elongation,trial.completion
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:28:35.503Z,00:00:27.828,00:00:03.504,68.309,FALSE
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:29:31.158Z,00:00:19.052,00:00:59.159,67.6108,FALSE
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:30:39.561Z,00:00:30.063,00:02:07.561,70.4015,TRUE
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:31:09.690Z,00:00:30.063,00:02:37.691,70.5597,TRUE
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:31:39.855Z,00:00:30.063,00:03:07.855,70.5375,TRUE
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:32:10.017Z,00:00:30.063,00:03:38.018,71.0379,TRUE
a1,Female,3,2022-03-09T18:28:32.000Z,2022-03-09T18:32:40.181Z,00:00:13.080,00:04:08.182,70.6421,FALSE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:39:29.437Z,00:00:30.063,00:00:03.437,66.9413,TRUE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:39:59.634Z,00:00:30.063,00:00:33.634,64.9158,TRUE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:40:29.763Z,00:00:30.063,00:01:03.764,66.2144,TRUE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:40:59.894Z,00:00:30.063,00:01:33.894,67.1964,TRUE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:41:30.023Z,00:00:30.063,00:02:04.024,65.4856,TRUE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:42:00.253Z,00:00:30.063,00:02:34.254,66.2701,TRUE
a2,Female,3,2022-03-09T18:39:26.000Z,2022-03-09T18:42:30.384Z,00:00:10.811,00:03:04.384,66.1685,FALSE
b1,Female,3,2022-03-09T18:45:08.000Z,2022-03-09T18:45:10.936Z,00:00:30.063,00:00:02.936,65.5938,TRUE
b1,Female,3,2022-03-09T18:45:08.000Z,2022-03-09T18:45:41.065Z,00:00:30.063,00:00:33.066,64.4767,TRUE
b1,Female,3,2022-03-09T18:45:08.000Z,2022-03-09T18:46:11.230Z,00:00:30.063,00:01:03.230,64.837,TRUE
b1,Female,3,2022-03-09T18:45:08.000Z,2022-03-09T18:46:41.392Z,00:00:30.063,00:01:33.393,65.1941,TRUE
b1,Female,3,2022-03-09T18:45:08.000Z,2022-03-09T18:47:11.523Z,00:00:30.063,00:02:03.524,60.5894,TRUE
b1,Female,3,2022-03-09T18:45:08.000Z,2022-03-09T18:47:41.753Z,00:00:30.063,00:02:33.754,61.7575,TRUE
b2,Female,3,2022-03-09T18:52:24.000Z,2022-03-09T18:52:26.903Z,00:00:30.063,00:00:02.903,70.5225,TRUE
b2,Female,3,2022-03-09T18:52:24.000Z,2022-03-09T18:52:57.032Z,00:00:13.013,00:00:33.033,70.5367,FALSE
b2,Female,3,2022-03-09T18:52:24.000Z,2022-03-09T18:54:11.608Z,00:00:30.063,00:01:47.608,69.9058,TRUE
b2,Female,3,2022-03-09T18:52:24.000Z,2022-03-09T18:54:41.803Z,00:00:05.973,00:02:17.804,64.1162,FALSE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:08:02.970Z,00:00:07.474,00:00:02.970,73.319,FALSE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:08:28.529Z,00:00:18.018,00:00:28.529,73.9195,FALSE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:09:05.431Z,00:00:30.063,00:01:05.432,75.288,TRUE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:09:35.562Z,00:00:30.063,00:01:35.562,75.456,TRUE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:10:05.726Z,00:00:30.063,00:02:05.726,75.5634,TRUE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:11:30.410Z,00:00:30.063,00:03:30.410,74.8308,TRUE
c1,Female,3,2022-03-09T19:08:00.000Z,2022-03-09T19:12:00.540Z,00:00:29.229,00:04:00.541,74.5459,FALSE
c2,Female,3,2022-03-09T19:13:46.000Z,2022-03-09T19:13:50.371Z,00:00:07.741,00:00:04.371,74.3435,FALSE
c2,Female,3,2022-03-09T19:13:46.000Z,2022-03-09T19:15:05.680Z,00:00:24.558,00:01:19.680,71.5645,FALSE
c2,Female,3,2022-03-09T19:13:46.000Z,2022-03-09T19:15:53.394Z,00:00:30.063,00:02:07.394,66.7578,TRUE
c2,Female,3,2022-03-09T19:13:46.000Z,2022-03-09T19:16:23.591Z,00:00:27.794,00:02:37.591,66.0304,FALSE
c2,Female,3,2022-03-09T19:13:46.000Z,2022-03-09T19:17:18.378Z,00:00:30.063,00:03:32.379,74.096,TRUE
c2,Female,3,2022-03-09T19:13:46.000Z,2022-03-09T19:17:48.509Z,00:00:30.063,00:04:02.509,75.4713,TRUE
c2,Female,3,2022-03-09T19:13:46.000Z,2022-03-09T19:18:18.638Z,00:00:29.162,00:04:32.639,75.3333,FALSE
d1,Female,3,2022-03-09T21:25:46.000Z,2022-03-09T21:25:49.604Z,00:00:18.018,00:00:03.604,72.2867,FALSE
d1,Female,3,2022-03-09T21:25:46.000Z,2022-03-09T21:26:33.980Z,00:00:18.051,00:00:47.981,74.5525,FALSE
d1,Female,3,2022-03-09T21:25:46.000Z,2022-03-09T21:27:31.471Z,00:00:30.063,00:01:45.472,74.7554,TRUE
d1,Female,3,2022-03-09T21:25:46.000Z,2022-03-09T21:28:01.635Z,00:00:30.063,00:02:15.636,72.9111,TRUE
d1,Female,3,2022-03-09T21:25:46.000Z,2022-03-09T21:28:31.799Z,00:00:25.826,00:02:45.799,72.7418,FALSE
d2,Female,3,2022-03-09T21:33:46.000Z,2022-03-09T21:33:48.802Z,00:00:30.063,00:00:02.803,70.4687,TRUE
d2,Female,3,2022-03-09T21:33:46.000Z,2022-03-09T21:34:18.933Z,00:00:30.063,00:00:32.933,68.9136,TRUE
d2,Female,3,2022-03-09T21:33:46.000Z,2022-03-09T21:34:49.095Z,00:00:30.063,00:01:03.096,71.7065,TRUE
d2,Female,3,2022-03-09T21:33:46.000Z,2022-03-09T21:35:19.259Z,00:00:30.063,00:01:33.260,71.517,TRUE
d2,Female,3,2022-03-09T21:33:46.000Z,2022-03-09T21:35:49.423Z,00:00:30.063,00:02:03.423,72.4503,TRUE
d2,Female,3,2022-03-09T21:33:46.000Z,2022-03-09T21:36:19.586Z,00:00:30.063,00:02:33.587,70.6919,TRUE
e1,Female,3,2022-03-09T21:43:30.000Z,2022-03-09T21:43:32.835Z,00:00:15.782,00:00:02.836,72.6887,FALSE
e2,Female,3,2022-03-09T21:48:20.000Z,2022-03-09T21:48:23.135Z,00:00:30.063,00:00:03.136,72.907,TRUE
e2,Female,3,2022-03-09T21:48:20.000Z,2022-03-09T21:48:53.266Z,00:00:13.514,00:00:33.267,72.0079,FALSE
