subject,sex,testorder,3.7.2022.MASS,3.9.2022.MASS,3.14.2022.MASS,3.16.2022.MASS,3.21.2022.MASS,3.23.2022.MASS,3.25.2022.MASS,stroking,grasping,stroking.day3.trial1,stroking.day3.trial2,stroking.day3.trial3,stroking.day3.trial4,stroking.day3.trial5,stroking.day4.trial1,stroking.day4.trial2,stroking.day4.trial3,stroking.day4.trial4,stroking.day4.trial5,stroking.day5.trial1,stroking.day5.trial2,stroking.day5.trial3,stroking.day5.trial4,stroking.day5.trial5,stroking.day6.trial1,stroking.day6.trial2,stroking.day6.trial3,stroking.day6.trial4,stroking.day6.trial5,grasping.day3.trial1,grasping.day3.trial2,grasping.day3.trial3,grasping.day3.trial4,grasping.day3.trial5,grasping.day4.trial1,grasping.day4.trial2,grasping.day4.trial3,grasping.day4.trial4,grasping.day4.trial5,grasping.day5.trial1,grasping.day5.trial2,grasping.day5.trial3,grasping.day5.trial4,grasping.day5.trial5,grasping.day6.trial1,grasping.day6.trial2,grasping.day6.trial3,grasping.day6.trial4,grasping.day6.trial5,stroking.day3.avg,stroking.day4.avg,stroking.day5.avg,stroking.day6.avg,grasping.day3.avg,grasping.day4.avg,grasping.day5.avg,grasping.day6.avg,stroking.total.avg,grasping.total.avg,synch.day3.avg,synch.day4.avg,synch.day5.avg,synch.day6.avg,asynch.day3.avg,asynch.day4.avg,asynch.day5.avg,asynch.day6.avg,real.day3.avg,real.day4.avg,real.day5.avg,real.day6.avg,fake.day3.avg,fake.day4.avg,fake.day5.avg,fake.day6.avg,synch.total.avg,asynch.total.avg,fake.total.avg,real.total.avg
a1,Female,AB,142,152,160,162,172,180,180,synchronous,fake,78.2017,77.099,78.0316,77.734,77.5721,78.462,77.8769,78.4612,79.1463,78.323,75.3893,74.2511,74.9347,73.7032,74.6896,70.5659,70.9696,71.0144,73.0077,72.2305,77.3992,77.1085,77.3096,77.4092,77.5567,74.2424,74.7314,74.9058,74.4198,75.5394,70.5095,71.503,72.2128,73.2253,72.2049,72.9757,72.5214,78.1515,78.4083,78.3008,77.72768,78.45388,74.59358,71.55762,77.35664,74.76776,71.9311,76.07154,75.42522083333333,74.73055333333333,77.72768,78.45388,74.59358,71.55762,NA,NA,NA,NA,NA,NA,NA,NA,77.35664,74.76776,71.9311,76.07154,75.42522083333333,NA,74.73055333333333,NA
a2,Female,BA,143,146,164,165,180,185,180,asynchronous,real,73.6122,73.6914,72.893,73.0312,74.6659,77.1992,76.5988,76.3326,76.5067,76.1336,77.0272,76.9089,78.4865,77.3437,77.0395,76.1075,75.3122,75.6183,75.9967,74.8744,75.6005,76.5023,75.3674,75.8688,75.5514,78.2557,78.3795,78.0546,77.8699,77.3355,77.1115,78.5297,78.3414,78.15,78.2926,75.7519,77.639,76.9307,75.9084,75.1643,73.57874,76.55418,77.36116,75.58182000000001,75.77808,77.97904,78.08504,76.27886,75.20082666666667,77.18117111111111,NA,NA,NA,NA,73.57874,76.55418,77.36116,75.58182000000001,75.77808,77.97904,78.08504,76.27886,NA,NA,NA,NA,NA,75.20082666666667,NA,77.18117111111111
b1,Female,BA,138,143,155,163,174,178,177,synchronous,real,73.331,74.9755,75.1361,74.7388,74.6139,75.1495,75.5975,77.1078,76.3312,76.9668,77.1857,77.5391,77.963,77.3457,76.3089,77.7254,76.4617,78.2918,78.4478,77.002,73.8297,NA,NA,NA,NA,77.2269,NA,NA,NA,NA,78.4071,NA,NA,NA,NA,75.0363,74.893,75.2764,70.8767,72.4385,74.55906,76.23056,77.26848,77.58574,73.8297,77.2269,78.4071,73.70418,75.501576666666665,76.53631333333334,74.55906,76.23056,77.26848,77.58574,NA,NA,NA,NA,73.8297,77.2269,78.4071,73.70418,NA,NA,NA,NA,75.501576666666665,NA,NA,76.53631333333334
b2,Female,AB,154,162,173,180,200,201,205,synchronous,real,74.4246,77.8471,77.2164,73.6037,74.9388,79.2372,74.9819,75.8881,78.0487,76.1417,73.0284,72.7965,77.3393,76.851,74.147,70.4068,70.2967,67.597,70.2829,69.7205,74.229,74.8063,74.4704,74.6499,75.385,76.73,76.8809,77.8395,76.5749,75.5643,76.9528,77.4609,77.1822,73.3546,78.0228,76.7358,77.0655,77.3881,78.0198,78.6907,75.60612,76.85952,74.83244,69.66078,74.70812,76.71792,76.59466,77.57998,74.77383333333333,75.58888,75.60612,76.85952,74.83244,69.66078,NA,NA,NA,NA,74.70812,76.71792,76.59466,77.57998,NA,NA,NA,NA,74.77383333333333,NA,NA,75.58888
c1,Female,BA,142,145,161,162,177,179,201,synchronous,fake,75.7162,75.6129,75.4684,75.9077,76.3041,75.4472,75.9951,75.4932,75.9389,75.8217,77.8409,76.5147,77.6078,76.5061,76.2006,76.3297,75.7756,76.1377,76.3804,76.1085,72.9053,75.0286,75.4382,74.9678,73.9968,77.7918,77.0639,78.9982,78.81,73.5921,76.3926,78.2082,77.9113,78.5458,78.282,73.1678,74.594,75.5074,76.2052,75.7388,75.80186,75.73922,76.93402,76.14638,74.46734,77.2512,77.86798,75.04264,74.79147333333333,76.38737,75.80186,75.73922,76.93402,76.14638,NA,NA,NA,NA,NA,NA,NA,NA,74.46734,77.2512,77.86798,75.04264,74.79147333333333,NA,76.38737,NA
c2,Female,BA,148,155,172,173,190,200,206,asynchronous,real,75.794,76.5851,76.9554,77.0386,75.9284,75.3935,75.8269,75.895,75.627,74.4688,73.8725,76.0512,73.4929,76.5246,74.902,76.507,75.0528,74.249,73.8463,73.695,74.637200000000007,73.963,69.6502,72.9624,69.672,73.2226,73.9008,76.9402,75.4103,74.4428,76.3326,76.7969,77.032,75.5252,76.8712,75.2908,75.1609,74.7272,74.9179,73.2927,76.4603,75.44224,74.96864000000001,74.67002,72.17696,74.78334000000001,76.51158,74.6779,74.59808,75.02677,NA,NA,NA,NA,76.4603,75.44224,74.96864000000001,74.67002,72.17696,74.78334000000001,76.51158,74.6779,NA,NA,NA,NA,NA,74.59808,NA,75.02677
d1,Female,AB,153,162,187,185,205,212,210,asynchronous,fake,66.8465,75.4304,76.1074,73.1601,72.2237,75.061,71.2668,72.2435,71.1025,74.3348,76.3677,76.1167,76.7847,76.1661,75.8161,73.5603,74.0134,74.0602,74.0528,73.4059,69.7707,72.4609,70.9899,71.1817,73.0768,70.3759,69.0573,71.0342,67.867,70.1264,71.3391,71.4495,71.6927,73.7056,70.5382,73.6532,70.6283,71.2305,70.5339,71.1724,72.75362,72.80172,76.25026,73.81852,71.49600000000001,69.69216,71.74502,71.44366,73.73692666666668,72.43601,NA,NA,NA,NA,72.75362,72.80172,76.25026,73.81852,NA,NA,NA,NA,71.49600000000001,69.69216,71.74502,71.44366,NA,73.73692666666668,72.43601,NA
e1,Female,BA,137,140,148,150,157,163,169,synchronous,fake,74.4047,73.7994,72.0488,72.9029,74.2958,77.3377,77.004,75.836,76.3739,76.151,75.1648,75.6099,75.9994,75.2579,76.8749,76.201,77.4331,77.2016,77.2714,77.0959,76.443,NA,NA,NA,NA,75.1743,76.9239,76.2635,77.358,78.2112,77.0563,77.065,73.7801,75.9674,74.5033,75.1223,75.7081,72.0867,NA,NA,73.49032,76.54052,75.78138,77.0406,76.443,76.78618,75.67442,74.3057,74.9574,75.07726,73.49032,76.54052,75.78138,77.0406,NA,NA,NA,NA,NA,NA,NA,NA,76.443,76.78618,75.67442,74.3057,74.9574,NA,75.07726,NA
e2,Female,AB,144,150,170,170,178,183,172,asynchronous,real,69.8626,68.1727,72.9184,74.2487,68.6749,78.7162,77.6193,78.2526,78.6077,78.1059,78.462,74.7916,77.4197,75.9824,76.8127,76.3217,77.0633,72.4652,75.5467,74.7395,77.8214,75.9486,76.9251,75.9252,76.6024,74.0627,73.7721,75.4413,75.2533,74.3844,74.5425,72.5999,75.2863,71.826,71.8836,75.2495,76.1166,75.0948,72.5759,75.837,70.77546,78.26034,76.69368,75.22728000000001,76.64454,74.58276,73.22766,74.97476,74.32834333333334,74.60178333333333,NA,NA,NA,NA,70.77546,78.26034,76.69368,75.22728000000001,76.64454,74.58276,73.22766,74.97476,NA,NA,NA,NA,NA,74.32834333333334,NA,74.60178333333333
f1,Female,BA,155,162,185,192,205,221,214,asynchronous,fake,72.0182,74.0111,74.2659,75.349,68.2933,66.964,70.2632,67.787,NA,NA,71.5928,72.937,69.7927,72.2228,69.6255,71.6939,71.7159,72.0893,71.1688,69.2542,61.9059,63.4394,64.7057,69.6816,NA,74.3108,73.4544,72.8143,73.5551,72.5088,74.3717,74.4309,74.8397,NA,NA,72.6613,72.4345,72.8915,72.3041,72.8507,72.7875,68.33806666666666,71.23416,71.18442,64.93315,73.32868,74.54743333333333,72.62842,70.98346111111111,71.69732055555556,NA,NA,NA,NA,72.7875,68.33806666666666,71.23416,71.18442,NA,NA,NA,NA,64.93315,73.32868,74.54743333333333,72.62842,NA,70.98346111111111,71.69732055555556,NA
f2,Female,AB,146,144,163,169,181,191,185,synchronous,fake,74.9913,75.8009,75.6345,77.4216,77.7073,77.2439,77.2252,77.2906,78.5058,77.7575,74.0599,72.6726,74.0718,73.9942,74.5755,76.129,76.7891,76.8803,76.7743,77.0081,76.5847,76.9271,76.8106,76.8143,77.1397,76.7498,75.8977,76.9372,76.453,76.903,77.0028,75.5318,75.4035,75.8967,75.7876,77.4349,76.2892,77.4295,77.0904,76.0767,76.31112,77.60459999999999,73.87480000000001,76.71616,76.85528,76.58814,75.92448,76.86414,76.35561666666666,76.30645666666666,76.31112,77.60459999999999,73.87480000000001,76.71616,NA,NA,NA,NA,NA,NA,NA,NA,76.85528,76.58814,75.92448,76.86414,76.35561666666666,NA,76.30645666666666,NA
g1,Male,AB,174,187,222,234,260,274,264,asynchronous,real,NA,NA,NA,NA,NA,69.6575,70.354,69.2267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5657,76.6642,76.6699,78.2326,79.3083,79.1318,76.2017,77.3882,77.6747,78.2482,77.5732,78.4176,76.1371,78.206,76.7885,78.604,80.1903,76.1973,75.0826,75.9208,NA,69.74606666666666,NA,NA,77.88814,77.72892,77.42448,77.199,70.42930555555556,77.93569600000001,NA,NA,NA,NA,NA,69.74606666666666,NA,NA,77.88814,77.72892,77.42448,77.199,NA,NA,NA,NA,NA,70.42930555555556,NA,77.93569600000001
g2,Male,BA,154,171,200,212,229,253,240,asynchronous,real,77.8673,NA,NA,NA,NA,78.6949,NA,NA,NA,NA,78.0371,75.02,NA,NA,NA,78.1379,76.7267,NA,NA,NA,67.0687,68.9864,67.5247,68.6871,61.696,66.0928,NA,NA,NA,NA,73.0174,67.029,NA,NA,NA,67.5042,66.7219,NA,NA,NA,77.8673,78.6949,76.52855,77.4323,66.79258,66.0928,70.0232,67.11305,76.15499,68.11811166666666,NA,NA,NA,NA,77.8673,78.6949,76.52855,77.4323,66.79258,66.0928,70.0232,67.11305,NA,NA,NA,NA,NA,76.15499,NA,68.11811166666666
h1,Male,AB,177,192,224,240,288,293,271,asynchronous,real,72.0091,71.012,72.9508,76.8135,71.3879,66.75,67.3137,68.2954,67.2835,68.1911,68.7725,75.4297,71.0183,76.1595,76.7367,66.4934,66.0443,69.756,63.8436,66.1714,69.9887,70.4208,69.9698,73.1122,73.1641,71.4758,71.4289,71.8316,69.9737,69.4939,69.9783,70.1311,69.5051,69.6838,69.9099,75.5056,73.8193,73.9418,76.386,75.4603,72.83466,67.56674,73.62334,66.46174,71.33112,70.84078,69.84164,75.0226,70.54049,70.97468333333333,NA,NA,NA,NA,72.83466,67.56674,73.62334,66.46174,71.33112,70.84078,69.84164,75.0226,NA,NA,NA,NA,NA,70.54049,NA,70.97468333333333
h2,Male,AB,174,193,230,241,258,282,270,synchronous,fake,68.3963,67.996,69.3518,68.4802,67.3039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1578,77.2339,76.8605,77.7515,77.6455,77.6261,76.4777,78.0621,76.7932,77.1111,75.6459,75.8931,77.2934,75.8795,76.6484,74.124,75.7024,75.1315,73.8912,68.30564,NA,NA,NA,77.000925,77.32092,76.3646,75.09949999999999,68.20355333333333,75.16304416666667,68.30564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.000925,77.32092,76.3646,75.09949999999999,68.20355333333333,NA,75.16304416666667,NA
i1,Male,BA,179,197,231,241,277,288,275,synchronous,fake,75.804,76.103,75.5898,76.0711,75.491,78.933,77.6704,76.4466,77.5752,77.4824,76.8026,76.779,76.3476,75.4694,75.0103,78.8046,79.0113,77.871,76.8051,75.9127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.0654,71.2796,70.5983,68.7727,68.2866,75.81178,77.62152,76.08178,77.68093999999999,NA,NA,NA,69.40052,76.25237333333334,72.58292,75.81178,77.62152,76.08178,77.68093999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.40052,76.25237333333334,NA,72.58292,NA
i2,Male,BA,160,175,198,213,222,255,259,synchronous,real,78.0731,79.0338,77.8042,78.7013,79.1179,78.2324,78.4686,76.6209,79.313,77.3352,78.9351,78.9601,79.183,77.7899,75.758,80.1874,78.9756,78.8044,76.4761,77.7646,66.2415,65.6466,65.737,67.1174,66.2661,69.8395,70.6404,72.6065,71.355,72.2082,NA,NA,NA,NA,NA,69.4621,70.5388,70.2775,68.3948,68.0452,78.54606,77.99402,78.12522,78.44162,66.20172,71.32992,NA,69.34368,77.83768,70.297724,78.54606,77.99402,78.12522,78.44162,NA,NA,NA,NA,66.20172,71.32992,NA,69.34368,NA,NA,NA,NA,77.83768,NA,NA,70.297724
j2,Male,BA,159,174,203,215,235,258,255,synchronous,fake,79.608,77.5117,78.8939,78.738,77.358,80.6328,80.3955,81.4861,81.9001,79.8836,77.6574,77.7903,78.0057,77.3877,78.4168,79.0292,78.2992,78.4994,77.94,77.7031,69.3018,69.1589,68.5539,71.1078,70.2402,70.8694,71.4338,72.319,71.4213,71.1988,NA,NA,NA,NA,NA,68.4783,71.3112,64.2213,70.6115,68.4026,78.42192,80.85961999999999,77.85158,78.29418,69.67252,71.44846,NA,68.60498,77.06158666666667,70.42372,78.42192,80.85961999999999,77.85158,78.29418,NA,NA,NA,NA,NA,NA,NA,NA,69.67252,71.44846,NA,68.60498,77.06158666666667,NA,70.42372,NA
k1,Male,BA,162,176,202,223,253,261,259,asynchronous,fake,80.0634,79.2733,81.2803,78.0656,77.6778,76.1981,76.1973,76.8041,75.9814,78.9306,78.0818,78.2514,73.2677,72.2681,75.0862,76.2756,77.1386,74.5391,76.1556,73.5572,65.6724,72.6791,70.2239,72.1285,65.715,74.839,74.5299,69.6836,71.6214,70.8892,NA,NA,NA,NA,NA,67.5966,72.0754,73.9828,NA,NA,79.27208,76.8223,75.39104,75.53322,69.28378000000001,72.31262,NA,71.21826666666666,75.62072,71.63704533333333,NA,NA,NA,NA,79.27208,76.8223,75.39104,75.53322,NA,NA,NA,NA,69.28378000000001,72.31262,NA,71.21826666666666,NA,75.62072,71.63704533333333,NA
l1,Male,AB,171,184,212,223,249,264,240,synchronous,fake,75.4677,NA,NA,NA,NA,70.6505,66.8327,NA,NA,NA,NA,NA,NA,NA,NA,69.1798,NA,NA,NA,NA,79.4882,81.343,80.9763,79.3602,78.906,78.6593,78.277,79.2078,77.9392,79.0046,76.1604,76.4817,75.9987,77.377,76.8604,79.6025,76.5108,78.3832,75.8119,NA,75.4677,68.7416,NA,69.1798,80.01474,78.61758,76.57563999999999,77.5771,71.0677,77.74141866666666,75.4677,68.7416,NA,69.1798,NA,NA,NA,NA,NA,NA,NA,NA,80.01474,78.61758,76.57563999999999,77.5771,71.0677,NA,77.74141866666666,NA
